央视频道,#genre#
CCTV风云音乐,http://pixman.taoiptv.com/tptv/G_FENGYUNYY-CQ?cdn=tptv1
CCTV兵器科技,http://pixman.taoiptv.com/tptv/G_BINGQIKJ-CQ?cdn=tptv1
CCTV女性时尚,http://pixman.taoiptv.com/tptv/G_NVXINGSS-CQ?cdn=tptv1
CCTV第一剧场,http://pixman.taoiptv.com/tptv/G_DIYIJC-CQ?cdn=tptv1
CCTV怀旧剧场,http://pixman.taoiptv.com/tptv/G_HUAIJIUJC-CQ?cdn=tptv1



卫视频道,#genre#
北京卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_BEIJING-HD-265-8M.m3u8
天津卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_TIANJIN-HD-265-8M.m3u8
辽宁卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_LIAONING-HD-265-8M.m3u8
湖南卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_HUNAN-HD-265-8M.m3u8
浙江卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_ZHEJIANG-HD-265-8M.m3u8
东方卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_DONGFANG-HD-265-8M.m3u8
安徽卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_ANHUI-HD-265-8M.m3u8
江苏卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_JIANGSU-HD-265-8M.m3u8
山东卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_SHANDONG-HD-265-8M.m3u8
黑龙江卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_HEILONGJIANG-HD-265-8M.m3u8
湖北卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_HUBEI-HD-265-8M.m3u8
广东卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_GUANGDONG-HD-265-8M.m3u8
深圳卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_SHENZHEN-HD-265-8M.m3u8
甘肃卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_GANSU-HD.m3u8
重庆卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CHONGQING-CQ.m3u8
广西卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=GXWS.m3u8
贵州卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_GUIZHOU-CQ.m3u8
海南卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=HD-8000k-1080P-lvyoustv.m3u8
三沙卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_SANSHA-HQ.m3u8
河北卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_HEBEI-CQ.m3u8
河南卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_HENAN-CQ.m3u8
吉林卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_JILIN-CQ.m3u8
江西卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_JIANGXI-CQ.m3u8
内蒙古卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_NEIMENGGU.m3u8
宁夏卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_NINGXIA.m3u8
山西卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=SXWS.m3u8
陕西卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_SHANXI.m3u8
四川卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_SICHUAN-CQ.m3u8
西藏卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_XIZANG.m3u8
新疆卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_XINJIANG-HD.m3u8
青海卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_QINGHAI.m3u8
厦门卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_XIAMEN.m3u8
云南卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_YUNNAN-HQ.m3u8
东南卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=H265-5500k-1080P-dongnanstv.m3u8
安多卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_ANDUO.m3u8
兵团卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_BINGTUAN.m3u8
康巴卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_KANGBA.m3u8
农林卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_NONGLIN.m3u8
延边卫视,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_YANBIAN.m3u8


北京卫视,http://123.6.102.32:11789/cqyx/0702.php?id=beijinghd.m3u8
东方卫视,http://123.6.102.32:11789/cqyx/0702.php?id=shanghaihd.m3u8
天津卫视,http://123.6.102.32:11789/cqyx/0702.php?id=tianjinhd.m3u8
重庆卫视,http://123.6.102.32:11789/cqyx/0702.php?id=chongqinghd.m3u8
黑龙江卫视,http://123.6.102.32:11789/cqyx/0702.php?id=heilongjianghd.m3u8
吉林卫视,http://123.6.102.32:11789/cqyx/0702.php?id=jilinhd.m3u8
辽宁卫视,http://123.6.102.32:11789/cqyx/0702.php?id=liaoninghd.m3u8
湖南卫视,http://123.6.102.32:11789/cqyx/0702.php?id=hunanhd.m3u8
江苏卫视,http://123.6.102.32:11789/cqyx/0702.php?id=jiangsuhd.m3u8
浙江卫视,http://123.6.102.32:11789/cqyx/0702.php?id=zhejianghd.m3u8
东南卫视,http://123.6.102.32:11789/cqyx/0702.php?id=dongnanhd.m3u8
广东卫视,http://123.6.102.32:11789/cqyx/0702.php?id=guangdonghd.m3u8
深圳卫视,http://123.6.102.32:11789/cqyx/0702.php?id=shenzhenhd.m3u8
江西卫视,http://123.6.102.32:11789/cqyx/0702.php?id=jiangxihd.m3u8
广西卫视,http://123.6.102.32:11789/cqyx/0702.php?id=guangxihd.m3u8
贵州卫视,http://123.6.102.32:11789/cqyx/0702.php?id=guizhouhd.m3u8
四川卫视,http://123.6.102.32:11789/cqyx/0702.php?id=sichuanhd.m3u8
河南卫视,http://123.6.102.32:11789/cqyx/0702.php?id=henanhd.m3u8
内蒙古卫视,http://123.6.102.32:11789/cqyx/0702.php?id=neimengkusd.m3u8
安徽卫视,http://123.6.102.32:11789/cqyx/0702.php?id=anhuisd.m3u8
湖北卫视,http://123.6.102.32:11789/cqyx/0702.php?id=hubeisd.m3u8
宁夏卫视,http://123.6.102.32:11789/cqyx/0702.php?id=ningxia.m3u8
青海卫视,http://123.6.102.32:11789/cqyx/0702.php?id=qinghaisd.m3u8
河北卫视,http://123.6.102.32:11789/cqyx/0702.php?id=hebeisd.m3u8
云南卫视,http://123.6.102.32:11789/cqyx/0702.php?id=yunnansd.m3u8
新疆卫视,http://123.6.102.32:11789/cqyx/0702.php?id=xinjiangsd.m3u8
兵团卫视,http://123.6.102.32:11789/cqyx/0702.php?id=bingtuansd.m3u8
西藏卫视,http://123.6.102.32:11789/cqyx/0702.php?id=xizangsd.m3u8
海南卫视,http://123.6.102.32:11789/cqyx/0702.php?id=hainansd.m3u8
三沙卫视,http://123.6.102.32:11789/cqyx/0702.php?id=sanshasd.m3u8



宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
